County,States,Death Rate,5 Year Trend in Death Rates,Urbanicity,Incidence Rate,5 Year Trend in Incidence Rate,Poverty Below 150%,White Pct,Bachelors Degree,Hispanic Pct.,Asian/PI Pct,Persistent Poverty,Families Below Poverty,AI/AN Pct,Household Characteristics,Unemployment Rate,HS Education,Black Pct.,Persons in Poverty,2023 Rural-Urban Continuum Codes([rural urban note]),SES,Racial Minority Index,FIPS_Code,Survival Rate
Union County,Florida,387.8,-0.3,Rural,1248.4,0.4,24.3,73.5,10.0,5.7,0.1,no,10.5,0.2,0.1419,3.6,77.9,16.7,15.9,Rural,0.5207,0.6916,12125,68.93623838513298
Thurston County,Nebraska,303.7,0.8,Rural,525.7,0.1,31.4,36.4,19.8,7.9,0.9,yes,15.1,56.5,0.7553,10.0,89.8,0.2,19.0,Rural,0.7836,0.9453,31173,42.22940840783718
Galax City,Virginia,285.8,-9.6,Rural,655.0,1.7,37.7,77.1,17.5,20.6,0.7,no,16.0,0.2,0.9997,4.4,80.2,8.0,22.4,Rural,0.9946,0.6496,51640,56.36641221374046
Todd County,South Dakota,285.6,2.0,Rural,516.4,0.6,66.6,8.4,14.7,4.2,3.4,yes,42.4,86.3,0.4774,15.1,79.8,0.0,52.2,Rural,0.9822,0.9968,46121,44.694035631293566
Issaquena County,Mississippi,274.8,1.3,Rural,490.0,31.9,33.5,27.5,5.2,1.0,0.0,yes,11.5,0.0,0.4379,12.1,64.3,70.4,20.6,Rural,0.9634,0.9297,28055,43.91836734693877
Mellette County,South Dakota,274.8,0.4,Rural,431.7,-0.8,56.8,32.2,11.9,0.7,0.3,yes,36.4,62.8,0.1197,16.5,82.0,0.3,49.1,Rural,0.9211,0.9338,46095,36.34468380820014
Quitman County,Mississippi,271.5,-0.5,Rural,626.5,2.5,47.8,25.0,14.4,0.4,0.1,yes,20.5,0.3,0.5684,12.2,75.2,71.9,30.2,Rural,0.9987,0.9742,28119,56.66400638467678
Owsley County,Kentucky,265.9,0.1,Rural,592.1,0.6,38.1,91.4,11.1,0.0,0.1,yes,20.8,0.0,0.43,14.2,71.4,1.3,28.8,Rural,0.8768,0.2148,21189,55.092045262624566
Hanson County,South Dakota,264.6,2.1,Rural,390.8,-8.9,13.5,93.4,21.1,0.0,0.0,no,2.9,0.0,0.1381,2.0,94.7,0.0,6.0,Rural,0.0404,0.008,46061,32.29273285568065
Polk County,Texas,257.2,0.1,Rural,679.5,-0.3,25.9,78.4,13.2,15.6,0.6,no,14.0,1.7,0.9481,9.3,81.4,8.1,16.4,Rural,0.937,0.6674,48373,62.14863870493009
Okfuskee County,Oklahoma,256.6,1.5,Rural,500.9,0.4,39.9,62.0,12.5,4.6,0.7,yes,21.2,16.0,0.3966,3.5,83.4,6.5,26.7,Rural,0.9157,0.7871,40107,48.77221002196047
East Carroll Parish,Louisiana,254.8,-0.1,Rural,502.8,0.4,57.0,27.7,11.8,1.5,0.0,yes,32.6,0.7,0.6257,15.1,67.7,67.0,40.3,Rural,0.9338,0.9726,22035,49.32378679395386
